Name,City,Country,IATA,Latitude,Longitude,Altitude,destination_airport,destination_city,destination_country,destination_airport_lat,destination_airport_lon,destination_airport_alt,destination_airport_IATA
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,LAS
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Albuquerque International Airport,Albuquerque,United States,35.040199,-106.609001,5355.0,ABQ
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Ted Stevens Anchorage International Airport,Anchorage,United States,61.17440032958984,-149.99600219726562,152.0,ANC
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Austin Bergstrom International Airport,Austin,United States,30.194499969482425,-97.6698989868164,542.0,AUS
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Bradley International Airport,Windsor Locks,United States,41.9388999939,-72.68319702149999,173.0,BDL
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Nashville International Airport,Nashville,United States,36.1245002746582,-86.6781997680664,599.0,BNA
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Brisbane International Airport,Brisbane,Australia,-27.38419914245605,153.11700439453125,13.0,BNE
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,BOS
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019043,-80.94309997558594,748.0,CLT
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,John Glenn Columbus International Airport,Columbus,United States,39.998001,-82.891899,815.0,CMH
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,15.0,DCA
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Denver International Airport,Denver,United States,39.861698150635,-104.672996521,5431.0,DEN
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,607.0,DFW
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Düsseldorf Airport,Duesseldorf,Germany,51.289501,6.766780000000001,147.0,DUS
